ein,business_name,source_zip,source_entry
941421239,"Freddi Eberhart &amp; Associates Inc",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349201825_public.xml"
472292873,"Larry C Boeshart CPA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349201875_public.xml"
364150112,"WEISS &amp; COMPANY LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349201895_public.xml"
810462297,"ROSIE BARNDT CPA PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202150_public.xml"
954870026,"ELITE FINANCIAL SOLUTIONS",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202215_public.xml"
741194055,"Peterson CPA Firm PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202240_public.xml"
386111674,"HRB TAX GROUP INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202335_public.xml"
844645583,"Anglemyer Tax and Accounting",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202520_public.xml"
862156037,"HADIAN ASSOCIATES INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202565_public.xml"
862549192,"LUBBOCK CITY LIGHTS",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202590_public.xml"
660894063,"REMORA INCORPORATED",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349202965_public.xml"
411461730,"JOHNSON LEWIS &amp; MOUNT LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202340129349302859_public.xml"
133044653,"AVASK ACCOUNTING &amp; TAX CONSULTANTS INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349300405_public.xml"
363412185,"BENNING GROUP LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301100_public.xml"
660200470,"MDA TAX COMPLIANCE AND ADVISORY LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301165_public.xml"
542059819,"BEACHY AREHART PLLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301275_public.xml"
042140688,"PKF O'CONNOR DAVIES LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301295_public.xml"
840683340,"RICHEY MAY &amp; CO LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301345_public.xml"
222974956,"D E RODRIGUES AND COMPANY INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301410_public.xml"
651192362,"INOUYE SHIVELY KLATT &amp; MCCORVEY CPA'S",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301595_public.xml"
371666738,"BARG &amp; HENSON CPAS PLLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301605_public.xml"
942988561,"COLODNY FIELDS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301640_public.xml"
042983365,"TONNESON &amp; COMPANY PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301700_public.xml"
570741999,"HALLIDAY SCHWARTZ &amp; CO",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301710_public.xml"
161386125,"RDG PARTNERS CPAS PLLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301810_public.xml"
953082807,"AAL PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301840_public.xml"
271388543,"BiggsKofford PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349301910_public.xml"
455206426,"Holyfield &amp; Thomas LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302010_public.xml"
